,Restaurant_name,CO2
287,Suvarnabhum Thai Restaurant,0.0
288,Haru Sushi,0.0
289,Hoefchen Chinese Restaurant,0.0
290,Wunderling,0.0
291,Maruyasu Fraukfurt Hauptwache,0.0
292,Urban Kitchen,0.0
293,Longobardi`s,0.0
294,Pitcher's Pub,0.0
295,Picknickbank,0.0
296,Frankfurter Markthalle,0.0
297,Ristorante Azzurro,0.0
298,Bier- und Apfelweinlokal Friedberger Warte,0.0
299,La Contessa,0.0
300,Strandcafe,0.0
301,Maaschanz,0.0
302,Pizzeria Terranova,0.0
303,Ristorante Paparazzi 2,0.0
304,"Zur Krone ""Riwweler""",0.0
305,Restaurant Embassy,0.0
306,Your Burger,0.0
307,Aureus,0.0
308,Bayram Kebap House,0.0
309,New Brick,0.0
310,Jannis,0.0
311,BLOCK HOUSE Borsenplatz,0.0
312,Sushi Stars,0.0
313,Mika,0.0
314,Burbank Restaurant,0.0
315,Koryano,0.0
316,Die Focacceria,0.0
317,Trando,0.0
318,Thai Fun,0.0
319,Ichiban Taiwan Restaurant,0.0
320,Westbar,0.0
321,shisan,0.0
322,The noodlemaker,12.438695652173914
323,La Tabla Rasa Bar y Restaurante,0.0
324,Kneipchen,0.0
325,Bagan Sushi,0.0
326,Henninger am Turm - The Frankfurt Brauhaus,0.0
327,Bologna,0.0
328,Der Buchwald,0.0
329,L'atelier des tartes,0.0
330,Lucille,0.0
331,Il Tavolino,0.0
332,Alte Zollwache,0.0
333,Ha Long Restaurant,0.0
334,Falafel & mehr,0.0
335,Koylu-Doner,0.0
336,Badias Schirn Cafe Restaurant,0.0
337,Tibet Ama Kitchen,0.0
338,Aber,0.0
339,Alma Frankfurt,0.0
340,Haxen Reichert,0.0
341,Miller & Carter Frankfurt,0.0
342,Style of India,0.0
343,Indian Curry House,0.0
344,Yumas,0.0
345,Cafe im Frankfurter Kunstverein,0.0
346,Zum Adler,0.0
347,Bornheimer-Dorfstadl,0.0
348,Main Wurschtl,0.0
349,KISU Sushi Bar & Vietnamesisches Restaurant,0.0
350,Arkadius,0.0
351,Coffee Alley 29,0.0
352,Metropol am Dom,0.0
353,Hausener Dorfkrug,0.0
354,Habibi Sandwiches,0.0
355,Anar Kali,0.0
356,Gastronomie da Claudio,0.0
357,Mola City,0.0
358,Good Times For Good People,0.0
359,Zur Reifenburg,0.0
360,Picknick Cafe,0.0
361,Ma Pasta,13.871621621621616
362,Brueckenkeller,0.0
363,Umi Sushi,0.0
364,La Cevi - Ceviche,0.0
365,Brauns Fisch Restaurant,0.0
366,Blumen - Restaurant in der Bar,0.0
367,WeissGold,0.0
368,Brasserie Ici,0.0
369,Ran Tan's Thai,0.0
370,Ramen Jun Red,0.0
371,Konfuzius sagt ...,0.0
372,Mancini - Eat Smart,0.0
373,Wursthelden,0.0
374,Trattoria Amici,0.0
375,Senckenberg Bistro,0.0
376,Wir-Komplizen,0.0
377,Soul Food factory,0.0
378,Sushi Lover,0.0
379,Pizzeria Peppino,0.0
380,Tempaccio Ristorante,0.0
381,Ristorante Pizzaria Casa Mia Da Claudio,0.0
382,Momberger,0.0
383,Phoenix Tea,0.0
384,Pi-Nong - Authentische Thai-Kuche,0.0
385,Balkan Grill,0.0
386,GaststAtte Niddapark,0.0
387,Gambrinus am Eck,0.0
388,Bistro Okame,0.0
389,Taste of India,0.0
390,Restaurant O/C Operncafe,0.0
391,Amici,0.0
392,Bier-Hannes,0.0
393,Kastanie,0.0
394,Orfeos Erben,0.0
395,Fleming's Restaurant,0.0
396,Coco,0.0
397,Struwwelpeter,5.108000000000001
398,Da Vincenzo Cucina italiana e Pizza Napoletana,0.0
399,Takumi Frankfurt,0.0
400,Freitagskueche,0.0
401,Casa Pintor,0.0
402,Hoechster Kebaphaus,0.0
403,Mezzanotte,0.0
404,Ganesha Restaurant,0.0
405,Il Gambero,0.0
406,French Bento Bar,0.0
407,cetin Grill,0.0
408,Brasserie du Sud,0.0
409,Dunkin',22.388095238095246
410,Zur Golden Kron,0.0
411,Zur Stalburg,0.0
412,SEOULFOOD Korean Food,0.0
413,Delhi Tandoori,6.677115384615383
414,The RAMP Restaurant,0.0
415,Die Kuh die lacht,0.912142857142857
416,Zum Kuhstall,0.0
417,Maison de BaN,0.0
418,China Leckerbissen,0.0
419,Ristorante Pizzeria BELLA MIA,0.0
420,Biondo,0.0
421,Cocos Express,0.0
422,Hirschhaus,0.0
423,"Cevabdzinica ""Sarajevo""",0.0
424,Trattoria Culinaria,0.0
425,Try,0.0
426,Qualitatseck,0.0
427,Tequila,0.0
428,Zel Bistro,0.0
429,Restaurant Tandoori Indische Feinkuche,0.0
430,Forno d'Oro II,0.0
431,Arche Nova,0.0
432,J'epoca SAKAbar,0.0
433,Weinstube Nordend,0.0
434,Baguette Jeanette,0.0
435,Restaurant Saigon,0.0
436,Indian Kitchen,0.0
437,Landhaus Alte Scheune,0.0
438,Fletchers Better Burger Bockenhei,0.0
439,Fonda De Santiago,0.0
440,Sanmaru,0.0
441,Herr Franz,0.0
442,Mahlzeit Imbiss,0.0
443,Cafehaus Siesmayer,0.0
444,Rodizio Grill,0.0
445,Mampf,0.0
446,Fischmarkt Mare Azzurro,0.0
447,Piccolo Pizza Bar,0.0
448,Ristorante La Pera Nera,0.0
449,Maxie Eisen,0.0
450,Weber's Restaurant Feldbergblick,0.0
451,Al Poeta Ristoranti,0.0
452,La Trinca,0.0
453,Ristorante Arte,0.0
454,Kiichi Restaurant,0.0
455,Nordsee,12.450175438596505
456,Milly's Eritreisch Athiopisches Restaurant,0.0
457,Krazy Kraken,0.0
458,Hani Restaurant,0.0
459,Watra,0.0
460,La Stalla,0.0
461,Moloko+,0.0
462,Ristorante da Luca,0.0
463,La Paesana,0.0
