User,Rating,Restaurant_name, CO 2 Score,adjust_rating
Lukasrvl,5,Waxy's Irish Bar,0.0,5.0
Philip S,5,Waxy's Irish Bar,0.0,5.0
yarodr,5,Waxy's Irish Bar,0.0,5.0
Pete M,5,Waxy's Irish Bar,0.0,5.0
ekaterina-_-86-b,5,Waxy's Irish Bar,0.0,5.0
20George17,5,Waxy's Irish Bar,0.0,5.0
Abdeljalil12,5,Waxy's Irish Bar,0.0,5.0
Daydream37865938187,5,Waxy's Irish Bar,0.0,5.0
286luizhenriques,5,Waxy's Irish Bar,0.0,5.0
helentC2063GM,4,Waxy's Irish Bar,0.0,4.0
NCSFrankfurt_Germany,5,Waxy's Irish Bar,0.0,5.0
shaun01996,5,Waxy's Irish Bar,0.0,5.0
DAVIDTAYLORTA,5,Waxy's Irish Bar,0.0,5.0
Steven H,5,Waxy's Irish Bar,0.0,5.0
Phil H,5,Waxy's Irish Bar,0.0,5.0
G2855WTjosea,5,Waxy's Irish Bar,0.0,5.0
alessandromN4264JR,5,Waxy's Irish Bar,0.0,5.0
Alexander M,5,Waxy's Irish Bar,0.0,5.0
kouvola10,3,Waxy's Irish Bar,0.0,3.0
x_sridhar,4,Waxy's Irish Bar,0.0,4.0
Moooooonee,5,Waxy's Irish Bar,0.0,5.0
fonsipa7,5,Waxy's Irish Bar,0.0,5.0
H552IJjoser,5,Waxy's Irish Bar,0.0,5.0
PreacherKane,3,Waxy's Irish Bar,0.0,3.0
DarrenD00,5,Waxy's Irish Bar,0.0,5.0
Deryck P,5,Waxy's Irish Bar,0.0,5.0
TaeTaeD,5,Waxy's Irish Bar,0.0,5.0
juanrC7075ZY,5,Waxy's Irish Bar,0.0,5.0
georgen545,5,Waxy's Irish Bar,0.0,5.0
elizacsou,5,Waxy's Irish Bar,0.0,5.0
391tomk,5,Waxy's Irish Bar,0.0,5.0
Emily P,5,Waxy's Irish Bar,0.0,5.0
SarkisA3,5,Waxy's Irish Bar,0.0,5.0
emilyrE9538IJ,1,Waxy's Irish Bar,0.0,1.0
smattsa,3,Waxy's Irish Bar,0.0,3.0
paulknstler,5,Waxy's Irish Bar,0.0,5.0
JanetR720,5,Waxy's Irish Bar,0.0,5.0
X7969MMsimonk,5,Waxy's Irish Bar,0.0,5.0
Amy-Luca-Max,5,Waxy's Irish Bar,0.0,5.0
alihbegovic,5,Waxy's Irish Bar,0.0,5.0
39serhatc,5,Waxy's Irish Bar,0.0,5.0
selcukhannn,5,Waxy's Irish Bar,0.0,5.0
batuuylmz,5,Waxy's Irish Bar,0.0,5.0
The_Fat_Frankfurter,4,Waxy's Irish Bar,0.0,4.0
Juan Pablo D,5,Waxy's Irish Bar,0.0,5.0
santiagoemetezeta,5,Waxy's Irish Bar,0.0,5.0
220kattiam,5,Waxy's Irish Bar,0.0,5.0
Brittany_11_10,5,Waxy's Irish Bar,0.0,5.0
95JuliaHu,5,Waxy's Irish Bar,0.0,5.0
877l_rac,5,Waxy's Irish Bar,0.0,5.0
560jameec,5,Waxy's Irish Bar,0.0,5.0
savcappa,5,Waxy's Irish Bar,0.0,5.0
Han E,5,Waxy's Irish Bar,0.0,5.0
Ruairi O,5,Waxy's Irish Bar,0.0,5.0
Nikola Pace M,5,Waxy's Irish Bar,0.0,5.0
EvilYank72,5,Waxy's Irish Bar,0.0,5.0
Bob A,5,Waxy's Irish Bar,0.0,5.0
nicuuush,5,Waxy's Irish Bar,0.0,5.0
Safari674916,5,Waxy's Irish Bar,0.0,5.0
mikecK5333HW,5,Waxy's Irish Bar,0.0,5.0
AS069,4,Waxy's Irish Bar,0.0,4.0
869amjada,5,Waxy's Irish Bar,0.0,5.0
Shadon D,5,Waxy's Irish Bar,0.0,5.0
timmmmmjsjf,5,Waxy's Irish Bar,0.0,5.0
tolgayarkin,5,Waxy's Irish Bar,0.0,5.0
scelen,5,Waxy's Irish Bar,0.0,5.0
nrgwave,5,Waxy's Irish Bar,0.0,5.0
JoseBilbao2016,4,Waxy's Irish Bar,0.0,4.0
lillag2015,5,Waxy's Irish Bar,0.0,5.0
mbworldwide,5,Waxy's Irish Bar,0.0,5.0
Jeff2379,4,Waxy's Irish Bar,0.0,4.0
MarkO7777777,5,Waxy's Irish Bar,0.0,5.0
Mike W,5,Waxy's Irish Bar,0.0,5.0
Eren G,5,Waxy's Irish Bar,0.0,5.0
G2855WTjosea,5,Waxy's Irish Bar,0.0,5.0
tamikess,5,Waxy's Irish Bar,0.0,5.0
Brooklyn_Trixx,5,Waxy's Irish Bar,0.0,5.0
R2383KAjustins,5,Waxy's Irish Bar,0.0,5.0
andy s,4,Waxy's Irish Bar,0.0,4.0
Gert T,5,Waxy's Irish Bar,0.0,5.0
Odtattooscom,5,Waxy's Irish Bar,0.0,5.0
Aleksandar S,5,Waxy's Irish Bar,0.0,5.0
Aleksandar M,5,Waxy's Irish Bar,0.0,5.0
vuckovski,5,Waxy's Irish Bar,0.0,5.0
djergovica,5,Waxy's Irish Bar,0.0,5.0
aleksandrov880,5,Waxy's Irish Bar,0.0,5.0
alexjjk,5,Waxy's Irish Bar,0.0,5.0
Oskar S,5,Waxy's Irish Bar,0.0,5.0
snurfer,5,Waxy's Irish Bar,0.0,5.0
anonymoustexas,4,Waxy's Irish Bar,0.0,4.0
ElzMcu,5,Waxy's Irish Bar,0.0,5.0
nbason,5,Waxy's Irish Bar,0.0,5.0
Lukas S,5,Waxy's Irish Bar,0.0,5.0
FranjoPorec,5,Waxy's Irish Bar,0.0,5.0
Beechcroft63,4,Waxy's Irish Bar,0.0,4.0
M8119BKpietroc,5,Waxy's Irish Bar,0.0,5.0
JohnP8439,5,Waxy's Irish Bar,0.0,5.0
nick h,5,Waxy's Irish Bar,0.0,5.0
mathura m,5,Waxy's Irish Bar,0.0,5.0
603brendand,5,Waxy's Irish Bar,0.0,5.0
HarryVog,5,Waxy's Irish Bar,0.0,5.0
andrew182hh,5,Waxy's Irish Bar,0.0,5.0
Evan H,3,Waxy's Irish Bar,0.0,3.0
sparholz,5,Waxy's Irish Bar,0.0,5.0
AdrienB1307,5,Waxy's Irish Bar,0.0,5.0
Mpj911,5,Waxy's Irish Bar,0.0,5.0
Rebecca L,5,Waxy's Irish Bar,0.0,5.0
Donvanandel,5,Waxy's Irish Bar,0.0,5.0
Dakles007,5,Waxy's Irish Bar,0.0,5.0
Kristjan D,5,Waxy's Irish Bar,0.0,5.0
td679,5,Waxy's Irish Bar,0.0,5.0
Tom_scotland1980,5,Waxy's Irish Bar,0.0,5.0
Jj01012,2,Waxy's Irish Bar,0.0,2.0
P6582SZstevec,3,Waxy's Irish Bar,0.0,3.0
550kens,5,Waxy's Irish Bar,0.0,5.0
SchlagdenBalllang,5,Waxy's Irish Bar,0.0,5.0
stavrosd378,5,Waxy's Irish Bar,0.0,5.0
aitkeng,5,Waxy's Irish Bar,0.0,5.0
329j_rgenr,4,Waxy's Irish Bar,0.0,4.0
Tetley75,3,Waxy's Irish Bar,0.0,3.0
dmytroFRA,5,Waxy's Irish Bar,0.0,5.0
Zeljkica V,5,Waxy's Irish Bar,0.0,5.0
lauraaU8135LR,3,Waxy's Irish Bar,0.0,3.0
Edwina R,5,Waxy's Irish Bar,0.0,5.0
aarich88,4,Waxy's Irish Bar,0.0,4.0
zultsengelp,5,Waxy's Irish Bar,0.0,5.0
Pioneer42856072732,5,Waxy's Irish Bar,0.0,5.0
andreww5760,5,Waxy's Irish Bar,0.0,5.0
VerenaKyratzes,3,Waxy's Irish Bar,0.0,3.0
Colm B,5,Waxy's Irish Bar,0.0,5.0
John M,4,Waxy's Irish Bar,0.0,4.0
TheNeshMeister,5,Waxy's Irish Bar,0.0,5.0
906cmoy,4,Waxy's Irish Bar,0.0,4.0
Jacit1812,5,Waxy's Irish Bar,0.0,5.0
PXCAM,5,Waxy's Irish Bar,0.0,5.0
Louise40,2,Waxy's Irish Bar,0.0,2.0
536damianb,5,Waxy's Irish Bar,0.0,5.0
Will D,4,Waxy's Irish Bar,0.0,4.0
586samirz,5,Waxy's Irish Bar,0.0,5.0
Ace28065,4,Waxy's Irish Bar,0.0,4.0
Spiderpig1965,4,Waxy's Irish Bar,0.0,4.0
Allyson S,4,Waxy's Irish Bar,0.0,4.0
293neilk,5,Waxy's Irish Bar,0.0,5.0
314nanal,5,Waxy's Irish Bar,0.0,5.0
RickS1962,5,Waxy's Irish Bar,0.0,5.0
OronG2,5,Waxy's Irish Bar,0.0,5.0
pollygi89,5,Waxy's Irish Bar,0.0,5.0
53maltet,5,Waxy's Irish Bar,0.0,5.0
CE1979,5,Waxy's Irish Bar,0.0,5.0
Dutchhouse,4,Waxy's Irish Bar,0.0,4.0
JasonC396,5,Waxy's Irish Bar,0.0,5.0
John C,4,Waxy's Irish Bar,0.0,4.0
charlybabe,5,Waxy's Irish Bar,0.0,5.0
Kristjan D,5,Waxy's Irish Bar,0.0,5.0
stuart W,4,Waxy's Irish Bar,0.0,4.0
Michael H,5,Waxy's Irish Bar,0.0,5.0
V3196VGdanielp,4,Waxy's Irish Bar,0.0,4.0
Mark S,4,Waxy's Irish Bar,0.0,4.0
GoPlaces750101,5,Waxy's Irish Bar,0.0,5.0
DeepYoga,5,Waxy's Irish Bar,0.0,5.0
Josephine K,5,Waxy's Irish Bar,0.0,5.0
jayez2018,4,Waxy's Irish Bar,0.0,4.0
Fluglotse1,5,Waxy's Irish Bar,0.0,5.0
leohartley1997,4,Waxy's Irish Bar,0.0,4.0
