Restaurant_name,avg_rating
Sanmaru,4.1
Herr Franz,3.7
Mahlzeit Imbiss,4.3
Cafehaus Siesmayer,3.3
Rodizio Grill,3.7
Mampf,4.4
Fischmarkt Mare Azzurro,4.9
Piccolo Pizza Bar,4.7
Ristorante La Pera Nera,3.8
Maxie Eisen,3.4
Weber's Restaurant Feldbergblick,3.6
Al Poeta Ristoranti,3.8
La Trinca,3.5
Ristorante Arte,3.7
Kiichi Restaurant,4.4
Nordsee,3.9
Milly's Eritreisch Athiopisches Restaurant,5.0
Krazy Kraken,3.7
Hani Restaurant,4.0
Watra,4.3
La Stalla,3.9
Moloko+,3.6
Ristorante da Luca,3.9
La Paesana,5.0
Istanbul Fisch Grill,4.1
Orfeo Bistro,4.2
Leonhard'S,3.9
Weisse Lilie,3.7
Applewoi Stubche Grillmayer,4.8
Ristorante Pizzeria Da Aldo,4.3
Calma Caos,5.0
Zur Alten Post,4.0
Cono Cimino,3.7
Casa Vip da Simonetta.,4.9
Sunflower Gartencenter,4.2
Phoin,4.0
Vietnam Palmen,4.0
Pizzeria Cimino Da Rosa,4.2
Zur neuen Giesskanne,4.0
Mosel-Eck,3.9
Restaurant Zur Waldau,4.3
Frankfurt Pub,3.8
Restaurant Marktstubb,4.0
Riz,4.0
Cafe Wunderbar,3.6
Wie Zuhause,4.9
Innside Frankfurt Eurotheum,4.1
VietPho,3.9
Zum Standesamtchen,3.3
vif Westend,4.8
Erta Ale,4.3
Ristorante & Pizzeria Imola,4.8
Sicilia,4.2
Luna Bar,3.9
Shinjuku,4.4
Fletcher's Better Burger,3.6
Cafe Kleinmarkthalle,4.3
Melis,4.6
The ASH - Frankfurt,3.6
Curry Club,4.4
Aunty Zhong's Noodle Bar&More,4.6
LAXMI Tandoori & Curry Restaurant,4.1
Pizzeria Italia 90,3.7
Restaurant Koriander,4.1
Steakhouse Fleischeslust,3.6
Gleis 25,4.1
Binding-Schirn,3.6
Kim´s Pho,3.5
Central Park Corner,3.6
Meier Gustl,4.5
Amir Libanesische Spezialitaten,4.1
Bistro Hong Kong,4.4
Ouzeri Meraki,4.1
Papa Enj,3.4
Graf 19,4.7
Pho Ha Noi,5.0
Zur blauen Adria,4.4
Der Fette Bulle Oeder Weg,3.7
Poke You,4.4
Restaurant La Favola,4.4
Thai Express,3.6
SHAH Persisches & Vegetarisches Restaurant,4.3
Gregorelli's,3.5
The Nine Thai Kitchen,4.8
Himalaya Laternchen,4.0
Fletchers Better Burger,3.8
Henscheid,4.0
Logenhaus Frankfurt,4.0
Il Doge,3.8
Dejavu Restaurantbetriebsgesellschaft Mbh,4.2
Holzofenpizza Engel,3.7
Haus Wertheym,3.4
ALEX Frankfurt THE SQUAIRE,3.4
Bkk Thai Street Food,4.6
Rise,3.9
Gang & Gaebe,3.8
Kenkey House,4.2
Aymo,5.0
Kiwis,3.8
Restaurant Lilium,4.2
Cha Dào - China Tea & Art,5.0
Eppstein,4.2
Pinienhof,4.4
saVory - the vegtory,4.4
Tapas Locas,3.9
Pizzeria Buongiorno,4.0
Neue Welt,3.9
Daheim in der Affentor SchAnke,4.1
Das Nudel Ding,3.8
Sullivan Bar,3.5
Alte Liebe,4.8
Sushi Circle,3.2
Rendezvous Persische Grill Spezialitaten,4.0
Solberfass'jE Haxenhaus,4.3
Brasserie M,4.0
Alegria im Lindner Congrss Hotel,3.4
Bombay Curry House,4.1
La Cantine Cafe & Bistro,3.7
Funky Burger,5.0
SOmmerring Weinbar,5.0
Mokka Teeria,4.5
Thai Snack Frischer Wok,3.6
Paris' Bar,4.7
Connection 5,3.3
Natural Floor,4.5
Taxim DOner Kebap Haus,4.3
Jaffa Market,3.4
Fine Dining Metropolitan,4.1
El Jamonero,4.7
yours sports bar,3.3
Maifresh Asia Bistro,3.8
Frau Schmidt,4.2
Volkswirtschaft,4.8
Gaststatte Anglerheim,4.0
Trattoria - Pizzeria im Sportgarten,4.0
Chaang Thai,4.2
Taverna Omikron,4.0
Kupfer.,5.0
Amtep Sofrasi,4.2
La Terrazza Ristorante,3.8
Bei Susanne,4.0
Viet Pho,3.4
Mystery of Pizza,5.0
Cafe Casablanca,3.7
Sophias Cafe • Tagesbar • Kuche,5.0
Da Stefano,4.2
Gangnam Kitchen,5.0
Hotel Ibis,3.6
Mlinar - Frankfurt,4.2
U Bowl,5.0
Runway Sandwiches,5.0
Mywok-Thai,3.7
Herzfutter Deli,5.0
Odyssee,4.0
Imbiss Ralf Ickes,4.2
Brezel Ditsch,3.9
Plants & Cakes EAST,4.3
Chez Vivi,5.0
Pizzeria Diablo,3.8
Wein Duo,4.4
Francos Austernbar Mare Blu,3.6
Pizza Massala,4.0
Take Thai,3.8
Normalkneipe,3.6
Lemlem Habesha Market,4.5
Bistro Ethiopia,4.2
Pizzeria Amalfi,4.2
Brasserie & Wine Bar,4.4
China Paradies,3.5
Gangnam,3.7
Sindam Bistro & Cafe,3.9
Bistro Cosi,3.9
Pizzeria Carlo,4.1
"Caffe Martella, Frankfurt",4.6
Am Bruennchen,3.6
Metzgerei Waibel,4.7
Ebert’s,3.4
die Fleckenbuhler Bistro&cafe,5.0
Loris Restaurant & Cafe,5.0
Maximilians,3.8
Snack Time,4.4
Yaldi,5.0
Quicker's,4.0
Bistro Carioca,4.6
Kochhaus Bockenheim,4.7
Pizzeria Palermo,4.2
Koh Samui Kitchen,3.6
Chipotle Mexican Grill,4.2
Greco,3.4
Meat in the City,4.0
An Frankfurt - Authentic Vietnamese Cuisine,3.7
Saftcraft,4.6
Ebbelwoi Hehl,5.0
Greeklicious,3.6
Nekos Cafe Bar,5.0
Bao Anh Deluxe,3.5
Ciro Il Lattaio Mensa,5.0
